objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,family.jpg,,,family photo,estrella family,2021-10-25,familyphoto,family,"Quezon City, Philippines","14.624194614889092,",121.0516459,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",pg_9_12_01bl,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,,,,,,,,,,,,,,,,,,
coll003,,,,,,,,,,,,,,,,,,
coll004,,,,,,,,,,,,,,,,,,
coll005,,,,,,,,,,,,,,,,,,
coll006,,,,,,,,,,,,,,,,,,
coll007,,,,,,,,,,,,,,,,,,
coll008,,,,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,
